sample_name	flow_rate	nutrient_addition	upstream_downstream	tank	connected_tank	time	marker	replicate	water_filtered	concentration	SampleType
B7_T5_R2	30	100	Down	B7	B3	T5	23S	R2	250	25.2	sample
B8_T5_R2	40	200	Down	B8	B4	T5	23S	R2	500	50.2	sample
C1_T5_R2	0	0	Up	C1		T5	23S	R2	250	32	sample
C2_T5_R2	20	0	Up	C2	C6	T5	23S	R2	500	17.4	sample
C3_T5_R2	40	200	Up	C3	C7	T5	23S	R2	250	18.4	sample
C6_T5_R2	20	0	Down	C6	C2	T5	23S	R2	500	12.7	sample
C7_T5_R2	40	200	Down	C7	C3	T5	23S	R2	125	18.5	sample
D1_T5_R2	20	50	Up	D1	D5	T5	23S	R2	125	12.4	sample
D2_T5_R2	20	200	Up	D2	D6	T5	23S	R2	125	7.94	sample
D4_T5_R2	0	0	Up	D4		T5	23S	R2	500	8.3	sample
D5_T5_R2	20	50	Down	D5	D1	T5	23S	R2	125	31	sample
D6_T5_R2	20	200	Down	D6	D2	T5	23S	R2	125	10	sample
E1_T5_R2	30	100	Up	E1	E5	T5	23S	R2	75	29.4	sample
E2_T5_R2	0	200	Up	E2		T5	23S	R2	125	19.2	sample
E3_T5_R2	40	0	Up	E3	E7	T5	23S	R2	500	11.8	sample
E5_T5_R2	30	100	Down	E5	E1	T5	23S	R2	125	29.6	sample
E7_T5_R2	40	0	Down	E7	E3	T5	23S	R2	500	6.2	sample
F1_T5_R2	40	50	Up	F1	F5	T5	23S	R2	125	24	sample
F3_T5_R2	10	100	Up	F3	F7	T5	23S	R2	250	4.08	sample
F5_T5_R2	40	50	Down	F5	F1	T5	23S	R2	125	2.16	sample
F7_T5_R2	10	100	Down	F7	F3	T5	23S	R2	500	8.52	sample
F8_T5_R2	20	200	Down	F8	F4	T5	23S	R2	250	19	sample
G1_T5_R2	40	50	Up	G1	G5	T5	23S	R2	125	37.2	sample
G2_T5_R2	10	100	Up	G2	G6	T5	23S	R2	500	6.16	sample
G3_T5_R2	30	25	Up	G3	G7	T5	23S	R2	500	8.74	sample
G4_T5_R2	30	25	Up	G4	G8	T5	23S	R2	125	8.32	sample
G5_T5_R2	40	50	Down	G5	G1	T5	23S	R2	125	5.38	sample
G6_T5_R2	10	100	Down	G6	G2	T5	23S	R2	500	4.42	sample
G7_T5_R2	30	25	Down	G7	G3	T5	23S	R2	500	9.86	sample
G8_T5_R2	30	25	Down	G8	G4	T5	23S	R2	500	12.5	sample
H1_T5_R2	20	0	Up	H1	H5	T5	23S	R2	500	6.88	sample
H2_T5_R2	0	200	Up	H2		T5	23S	R2	500	14.8	sample
H4_T5_R2	20	50	Up	H4	H8	T5	23S	R2	125	15.3	sample
H5_T5_R2	20	0	Down	H5	H1	T5	23S	R2	500	15.2	sample
H8_T5_R2	20	50	Down	H8	H4	T5	23S	R2	250	14.3	sample
I2_T5_R2	10	25	Up	I2	I6	T5	23S	R2	500	8.4	sample
I5_T5_R2	0	0	Up	I5		T5	23S	R2	200	22.4	sample
I6_T5_R2	10	25	Down	I6	I2	T5	23S	R2	500	2.8	sample
Resv_T5_R2				Resv		T5	23S	R2	500	15.4	resv
Cont_T5_R2				Cont		T5	23S	R2	500	0.268	blank
C2_T1_R2	20	0	Up	C2		T1	23S	R2	500	22.8	sample
C3_T1_R2	40	200	Up	C3		T1	23S	R2	500	35.4	sample
D6_T1_R2	20	200	Down	D6		T1	23S	R2	500	40.8	sample
E2_T1_R2	0	200	Up	E2		T1	23S	R2	500	36	sample
F5_T1_R2	40	50	Down	F5		T1	23S	R2	500	40.8	sample
G4_T1_R2	30	25	Up	G4		T1	23S	R2	500	38.4	sample
G6_T1_R2	10	100	Down	G6		T1	23S	R2	500	37	sample
G8_T1_R2	30	25	Down	G8		T1	23S	R2	500	0	sample
H8_T1_R2	20	50	Down	H8		T1	23S	R2	500	58.6	sample
Cont_T1_R2				Cont		T1	23S	R2	500	1.17	b lank
